recorded_time,latitude,longitude
2014-05-11 07:50:45,42.3761724,-71.1930176
2014-05-11 07:51:30,42.3762311,-71.1930545
2014-05-11 07:52:16,42.3761645,-71.1930399
2014-05-11 07:56:01,42.3761308,-71.1929251
2014-05-11 07:56:46,42.3761926,-71.1930327
2014-05-11 08:02:02,42.3762353,-71.1930563
2014-05-11 08:02:47,42.3761598,-71.193032
2014-05-11 08:04:17,42.3761554,-71.1929112
2014-05-11 08:05:02,42.3761944,-71.1930119
2014-05-11 08:07:18,42.3762656,-71.1930428
2014-05-11 08:08:03,42.3761934,-71.1930082
2014-05-11 08:08:48,42.3762406,-71.1930606
2014-05-11 08:09:33,42.3761721,-71.1930277
2014-05-11 08:12:33,42.3762216,-71.1930477
2014-05-11 08:13:18,42.3761738,-71.1929488
2014-05-11 08:14:03,42.3762215,-71.1930731
2014-05-11 08:15:34,42.3761762,-71.1930355
2014-05-11 08:23:04,42.376244,-71.1930574
2014-05-11 08:26:06,42.3762023,-71.1930314
2014-05-11 08:28:21,42.3761561,-71.1928932
2014-05-11 08:29:06,42.3761998,-71.1930315
2014-05-11 08:29:51,42.3762625,-71.1930779
2014-05-11 08:30:36,42.3761508,-71.1929872
2014-05-11 08:32:51,42.3762354,-71.1930411
2014-05-11 08:33:36,42.3761598,-71.1929847
2014-05-11 08:34:21,42.3761954,-71.1930232
2014-05-11 08:43:22,42.3761522,-71.1929931
2014-05-11 08:44:07,42.376222,-71.1930272
2014-05-11 08:47:53,42.3761527,-71.1929981
2014-05-11 08:49:23,42.3762062,-71.19303
2014-05-11 08:52:23,42.3761308,-71.1929308
2014-05-11 08:53:53,42.3761597,-71.1930064
2014-05-11 08:55:23,42.3761459,-71.1929334
2014-05-11 08:56:53,42.3761757,-71.193011
2014-05-11 08:58:23,42.3761279,-71.1929244
2014-05-11 08:59:09,42.3762041,-71.1929879
2014-05-11 09:01:24,42.3761271,-71.1929051
2014-05-11 09:02:09,42.3761915,-71.1929931
2014-05-11 09:03:42,42.3455661,-71.162646
2014-05-11 09:04:23,42.3761866,-71.1930366
2014-05-11 09:06:39,42.3761324,-71.1929311
2014-05-11 09:07:24,42.3761789,-71.1930089
2014-05-11 09:11:54,42.3761383,-71.1929542
2014-05-11 09:12:39,42.3761714,-71.1930024
2014-05-11 09:13:24,42.3761632,-71.1929001
2014-05-11 09:14:09,42.3761662,-71.1930154
2014-05-11 09:15:39,42.3762058,-71.1930586
2014-05-11 09:16:24,42.3761137,-71.192926
2014-05-11 09:17:09,42.3761595,-71.193012
2014-05-11 09:17:55,42.3762092,-71.1930592
2014-05-11 09:18:40,42.3761452,-71.1929843
2014-05-11 09:20:11,42.3761895,-71.1930266
2014-05-11 09:36:42,42.3761206,-71.192939
2014-05-11 09:38:12,42.3761823,-71.1930374
2014-05-11 09:44:12,42.3761566,-71.1929824
2014-05-11 09:45:42,42.3761053,-71.1929295
2014-05-11 09:46:27,42.3762005,-71.1930303
2014-05-11 09:47:57,42.3761568,-71.1930015
2014-05-11 09:50:12,42.3761162,-71.1929368
2014-05-11 09:51:42,42.3761842,-71.1930036
2014-05-11 09:59:12,42.3761649,-71.1929297
2014-05-11 09:59:57,42.3762372,-71.1930502
2014-05-11 10:00:43,42.3761897,-71.1929584
2014-05-11 10:01:28,42.3762268,-71.1930363
2014-05-11 10:02:13,42.3761783,-71.193008
2014-05-11 10:06:44,42.3762196,-71.1930432
2014-05-11 10:07:29,42.3761508,-71.1929981
2014-05-11 10:15:00,42.3761497,-71.1929355
2014-05-11 10:16:30,42.3762403,-71.1930622
2014-05-11 10:17:15,42.3761938,-71.1930183
2014-05-11 10:19:30,42.3761469,-71.1930026
2014-05-11 10:22:30,42.3761604,-71.1929
2014-05-11 10:23:15,42.3761678,-71.1930187
2014-05-11 10:27:00,42.3761486,-71.1929232
2014-05-11 10:27:45,42.3761674,-71.1930049
2014-05-11 10:31:31,42.3761421,-71.1929202
2014-05-11 10:32:16,42.3762207,-71.1930428
2014-05-11 10:33:46,42.3761738,-71.1930076
2014-05-11 10:35:16,42.3762455,-71.1930685
2014-05-11 10:36:01,42.3761793,-71.1930087
2014-05-11 10:42:01,42.3762218,-71.1930424
2014-05-11 10:42:46,42.3761805,-71.1930084
2014-05-11 10:43:31,42.3762348,-71.1930078
2014-05-11 10:45:02,42.3761769,-71.1929862
2014-05-11 10:55:34,42.3761254,-71.1929368
2014-05-11 10:56:19,42.3761844,-71.193026
2014-05-11 10:59:19,42.3762069,-71.1929589
2014-05-11 11:00:04,42.3761693,-71.1930052
2014-05-11 11:01:34,42.3761021,-71.1930008
2014-05-11 11:22:36,42.3761472,-71.1930012
2014-05-11 11:25:36,42.3760939,-71.1930089
2014-05-11 11:26:29,42.3761439,-71.1930245
2014-05-11 11:31:40,42.3761419,-71.1930076
2014-05-11 11:55:43,42.3760946,-71.1929971
2014-05-11 11:57:58,42.3761465,-71.1929927
2014-05-11 12:01:43,42.3760917,-71.1930106
2014-05-11 12:10:44,42.3761445,-71.1930115
2014-05-11 12:13:00,42.3760967,-71.1929998
2014-05-11 12:15:15,42.3761482,-71.1930672
2014-05-11 12:16:00,42.3761022,-71.1930128
2014-05-11 12:28:01,42.376159,-71.1930323
2014-05-11 12:29:31,42.3761082,-71.1929957
2014-05-11 12:40:47,42.3761801,-71.1930269
2014-05-11 12:46:47,42.3761302,-71.193001
2014-05-11 12:47:32,42.3761737,-71.1930204
2014-05-11 12:52:02,42.3762758,-71.1930996
2014-05-11 12:52:48,42.3762168,-71.1930463
2014-05-11 12:56:33,42.3761584,-71.1930455
2014-05-11 12:58:03,42.3761362,-71.1929914
2014-05-11 12:59:34,42.3762168,-71.1930825
2014-05-11 13:00:19,42.3761744,-71.1930246
2014-05-11 13:02:34,42.3761415,-71.1929139
2014-05-11 13:04:04,42.3761502,-71.1930222
2014-05-11 13:04:49,42.3761575,-71.1929474
2014-05-11 13:07:49,42.3760911,-71.1929924
2014-05-11 13:08:34,42.3761645,-71.1930171
2014-05-11 13:13:05,42.3761288,-71.1929401
2014-05-11 13:13:50,42.3761764,-71.1930293
2014-05-11 13:15:20,42.3761701,-71.1929665
2014-05-11 13:16:05,42.3761016,-71.192938
2014-05-11 13:16:50,42.3761254,-71.1930016
2014-05-11 13:18:20,42.3761387,-71.1929326
2014-05-11 13:19:05,42.3761668,-71.192993
2014-05-11 13:19:50,42.3761954,-71.1930496
2014-05-11 13:20:35,42.3761378,-71.1930005
2014-05-11 13:21:20,42.3762003,-71.1930362
2014-05-11 13:23:35,42.3761398,-71.1930008
2014-05-11 13:28:51,42.376182,-71.1930358
2014-05-11 13:31:06,42.3761318,-71.193017
2014-05-11 13:40:07,42.3761867,-71.1930436
2014-05-11 13:41:37,42.3761406,-71.1930129
2014-05-11 13:52:54,42.3761942,-71.1930327
2014-05-11 13:54:24,42.3761458,-71.1929884
2014-05-11 13:59:40,42.3761148,-71.1929216
2014-05-11 14:00:25,42.376193,-71.1930334
2014-05-11 14:01:10,42.3761441,-71.1930142
2014-05-11 14:03:25,42.3761989,-71.1929656
2014-05-11 14:04:10,42.3761303,-71.1930071
2014-05-11 14:07:11,42.3761773,-71.1929599
2014-05-11 14:07:56,42.376152,-71.1930118
2014-05-11 14:16:57,42.3761908,-71.1930505
2014-05-11 14:17:42,42.3761343,-71.1929116
2014-05-11 14:18:28,42.3387041,-71.1688896
2014-05-11 14:18:40,42.3761496,-71.1929932
2014-05-11 14:18:49,42.376202,-71.1930271
2014-05-11 14:19:34,42.3761407,-71.1930109
2014-05-11 14:26:24,42.3761558,-71.1930217
2014-05-11 14:26:34,42.3762652,-71.1929511
2014-05-11 14:26:42,42.3762681,-71.1928784
2014-05-11 14:27:27,42.3761927,-71.1927959
2014-05-11 14:28:10,42.3779428,-71.1915133
2014-05-11 14:30:28,42.3802832,-71.1822714
2014-05-11 14:31:14,42.3794298,-71.1749519
2014-05-11 14:31:23,42.3804716,-71.178079
2014-05-11 14:32:09,42.3785758,-71.1720112
2014-05-11 14:32:55,42.3768851,-71.1645518
2014-05-11 14:33:41,42.3764738,-71.1596932
2014-05-11 14:34:27,42.3760554,-71.1583174
2014-05-11 14:35:10,42.3760446,-71.1584813
2014-05-11 14:35:54,42.376054,-71.1583966
2014-05-11 14:38:14,42.3759979,-71.1583017
2014-05-11 14:38:59,42.3760604,-71.1584226
2014-05-11 14:40:30,42.3782726,-71.1588713
2014-05-11 14:41:16,42.3803151,-71.1567076
2014-05-11 14:42:00,42.3793011,-71.1498931
2014-05-11 14:42:45,42.3791106,-71.1482113
2014-05-11 14:43:32,42.3800065,-71.1444359
2014-05-11 14:45:00,42.3834206,-71.1404314
2014-05-11 14:45:44,42.3808962,-71.1402958
2014-05-11 14:46:30,42.3834206,-71.1404314
2014-05-11 14:47:17,42.3844287,-71.1334651
2014-05-11 14:48:02,42.3866922,-71.1297096
2014-05-11 14:48:50,42.3882757,-71.1256855
2014-05-11 14:49:32,42.3912076,-71.1233773
2014-05-11 14:50:18,42.3913295,-71.1232026
2014-05-11 14:50:31,42.3907313,-71.1219803
2014-05-11 14:51:18,42.3903393,-71.1210858
2014-05-11 14:52:03,42.3901803,-71.1192543
2014-05-11 14:52:49,42.3905784,-71.11806
2014-05-11 14:53:36,42.3913245,-71.1188428
2014-05-11 14:55:48,42.3902169,-71.1166092
2014-05-11 14:55:53,42.3911702,-71.1196895
